;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;5,6 ;5,9 ;6,2 ;6,3 ;6,5 ;6,3 ;6,8 ;6,9 ;6,6 ;6,6 ;6,0 ;5,9 ;5,8 
Andalucía;6,0 ;6,0 ;6,2 ;7,3 ;6,2 ;6,6 ;7,1 ;7,0 ;7,2 ;6,9 ;6,5 ;6,1 ;5,3 
Aragón;4,7 ;4,4 ;4,2 ;5,3 ;5,3 ;5,6 ;6,0 ;5,4 ;5,1 ;4,6 ;4,3 ;4,7 ;4,7 
Asturias, Principado de;4,9 ;5,1 ;4,7 ;4,9 ;5,2 ;5,1 ;6,3 ;5,2 ;5,1 ;5,5 ;4,8 ;7,8 ;7,3 
Balears, Illes;5,9 ;6,3 ;6,9 ;9,2 ;6,9 ;7,1 ;8,9 ;9,1 ;6,1 ;8,2 ;5,5 ;4,8 ;4,6 
Canarias;5,6 ;6,3 ;6,7 ;6,8 ;7,1 ;7,0 ;7,7 ;10,1 ;8,8 ;7,0 ;7,0 ;5,3 ;6,9 
Cantabria;4,8 ;5,7 ;5,3 ;7,2 ;5,3 ;5,2 ;4,8 ;4,3 ;4,8 ;4,9 ;5,3 ;5,2 ;5,3 
Castilla y León;4,5 ;5,1 ;5,2 ;4,9 ;5,0 ;5,2 ;6,2 ;5,6 ;5,1 ;4,7 ;4,8 ;4,5 ;4,5 
Castilla - La Mancha;5,1 ;4,9 ;5,8 ;5,7 ;6,8 ;6,5 ;6,2 ;6,7 ;6,4 ;6,3 ;6,6 ;5,5 ;4,8 
Cataluña;5,2 ;5,8 ;6,1 ;5,6 ;6,2 ;5,7 ;6,5 ;6,1 ;5,6 ;5,7 ;5,2 ;5,6 ;6,2 
Comunitat Valenciana;5,7 ;5,3 ;6,2 ;6,0 ;6,7 ;6,5 ;5,8 ;6,4 ;6,0 ;6,6 ;5,6 ;5,6 ;6,6 
Extremadura;5,0 ;5,6 ;5,6 ;5,5 ;6,3 ;5,7 ;5,7 ;5,8 ;5,4 ;5,9 ;4,8 ;4,8 ;4,5 
Galicia;4,6 ;4,6 ;5,0 ;5,0 ;5,4 ;4,8 ;5,0 ;5,5 ;5,5 ;5,8 ;5,4 ;5,2 ;5,3 
Madrid, Comunidad de;5,6 ;6,3 ;5,9 ;6,1 ;6,5 ;6,1 ;6,5 ;6,9 ;7,2 ;7,7 ;6,3 ;6,5 ;5,8 
Murcia, Región de;5,1 ;5,7 ;5,8 ;4,7 ;5,1 ;6,5 ;6,1 ;6,6 ;5,9 ;5,6 ;5,9 ;4,7 ;4,7 
Navarra, Comunidad Foral de;4,2 ;4,7 ;5,3 ;4,7 ;4,8 ;4,5 ;4,9 ;4,8 ;4,6 ;4,4 ;4,1 ;3,9 ;4,5 
País Vasco;4,8 ;5,2 ;6,1 ;6,3 ;6,5 ;5,2 ;5,2 ;5,4 ;5,0 ;5,1 ;5,1 ;5,3 ;4,8 
Rioja, La;4,3 ;5,1 ;5,5 ;6,2 ;5,9 ;6,8 ;6,4 ;5,5 ;4,6 ;4,5 ;5,7 ;5,0 ;4,7 
Ceuta;10,9 ;15,0 ;8,3 ;8,1 ;10,8 ;10,9 ;9,2 ;7,1 ;6,3 ;11,5 ;10,3 ;11,5 ;10,7 
Melilla;6,4 ;9,9 ;7,6 ;10,7 ;5,4 ;10,1 ;10,1 ;7,4 ;8,2 ;7,1 ;9,1 ;13,9 ;15,0 
