;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Mediana;         ;         ;         ;         ;         ;         ;         ;         ;         ;;;;
Total;13966 ;14795 ;14605 ;13929 ;13868 ;13524 ;13269 ;13352 ;13681 ;14203 ;14785 ;15015 ;16043 
Andalucía;11651 ;12695 ;12086 ;11369 ;11117 ;10866 ;10152 ;10091 ;10459 ;11453 ;11625 ;11663 ;13097 
Aragón;16303 ;17193 ;16903 ;16422 ;16065 ;16121 ;15904 ;16267 ;15751 ;15839 ;15867 ;17241 ;18042 
Asturias, Principado de;14964 ;16083 ;15841 ;15693 ;15550 ;15134 ;14724 ;14880 ;16277 ;15698 ;15925 ;15982 ;15930 
Balears, Illes;14329 ;15308 ;15266 ;14897 ;14395 ;13523 ;14115 ;14954 ;15007 ;14000 ;17039 ;16798 ;18363 
Canarias;11815 ;11673 ;12737 ;11284 ;10752 ;11723 ;11157 ;11839 ;11010 ;11615 ;12047 ;12819 ;13588 
Cantabria;15318 ;16212 ;14631 ;13381 ;12961 ;12733 ;12972 ;13826 ;12868 ;13999 ;14603 ;15932 ;16083 
Castilla y León;13950 ;14658 ;14736 ;14477 ;14354 ;14162 ;13791 ;13635 ;13987 ;15008 ;15283 ;15349 ;16640 
Castilla - La Mancha;11857 ;12968 ;12329 ;11237 ;11372 ;11023 ;11035 ;11161 ;11456 ;11596 ;12646 ;13384 ;14446 
Cataluña;16188 ;16818 ;16481 ;15792 ;15870 ;15704 ;16279 ;16112 ;16757 ;16828 ;18302 ;17790 ;18943 
Comunitat Valenciana;12867 ;14004 ;13645 ;13280 ;13010 ;12130 ;11717 ;11769 ;11861 ;13094 ;13748 ;13994 ;15180 
Extremadura;10470 ;12024 ;10943 ;10852 ;10490 ;10213 ;9905 ;10359 ;10673 ;9644 ;10265 ;10882 ;12006 
Galicia;12505 ;13607 ;13935 ;13791 ;13515 ;13105 ;13330 ;13459 ;13250 ;14756 ;15053 ;14967 ;15411 
Madrid, Comunidad de;16612 ;18349 ;18064 ;17114 ;17132 ;16856 ;16498 ;16030 ;16464 ;17294 ;16892 ;17681 ;18154 
Murcia, Región de;12738 ;12489 ;12243 ;11283 ;11643 ;11148 ;10096 ;10332 ;11270 ;11999 ;12630 ;12281 ;13046 
Navarra, Comunidad Foral de;17977 ;18922 ;19925 ;18541 ;18641 ;18057 ;18121 ;18710 ;18348 ;19040 ;19261 ;19837 ;21174 
País Vasco;18852 ;19940 ;19730 ;18665 ;18683 ;19252 ;19469 ;18614 ;19275 ;19229 ;19586 ;21020 ;21701 
Rioja, La;14161 ;14132 ;14793 ;14505 ;14572 ;14344 ;14698 ;14507 ;15346 ;15792 ;15410 ;16577 ;17589 
Ceuta;11041 ;11574 ;13251 ;12911 ;12779 ;10721 ;9492 ;11168 ;12358 ;12281 ;10339 ;12058 ;12455 
Melilla;17877 ;18634 ;17198 ;14320 ;14847 ;13288 ;13422 ;12929 ;16999 ;14843 ;16840 ;17063 ;14922 
