CCAA;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Espana;32,2;31;30,3;30,8;31,7;30,9;28,2;26,3;24,7;23,6;21,9;20;19;18,3;17,9;17,3;16
Andalucia;39,4;38;38;37,1;37,9;37,2;34,6;32,1;28,8;28,7;27,7;24,9;23,1;23,5;21,9;21,6;21,8
Aragon;23,8;23,4;24,6;25,5;25,8;25;23,8;22,8;20,4;18,9;18,4;19,5;19,1;16,4;15,8;14,6;14,2
Asturias, Principado de;26,9;20,5;23,1;23,1;20;21,3;22,2;21,9;19,8;19,1;13,6;16,8;16,6;14,8;12,6;12,4;8,9
Balears, Illes;42,2;39,7;36;42,1;42,5;40,3;36,5;29,7;28,9;29,8;32,1;26,7;26,8;26,5;24,4;24,2;21,3
Canarias ;33,3;30,8;34,9;36,4;34,1;30,7;29,8;30,9;28;27,5;23,8;21,9;18,9;17,5;20,9;20,8;18,2
Cantabria;26,7;21,9;23,5;25,5;22,9;24,2;23,9;21,4;14,2;12,1;9,7;10,3;8,6;8,9;9,8;12,8;9,1
Castilla y Leon;23,3;25,4;23,6;23,7;26,4;26,9;23,4;27,5;21,7;19,2;16,8;16,7;17,3;16,7;13,9;14,3;15,4
Castilla - La Mancha;37,4;36,8;38,8;37,3;38,4;34,6;33,4;31,5;27,5;27,4;22,2;20,8;23,2;22,1;20,5;20,2;18,7
Cataluna;34,1;33,1;28,5;31,2;32,9;31,9;28,9;26,2;24,2;24,7;22,2;18,9;18;17;17;19;17,4
Comunitat Valenciana;35,7;32,2;31,1;31,2;32,6;31,9;28,4;26,7;25,9;21,7;23,4;21,4;20,2;20,3;20,2;16,4;15,5
Extremadura;39,2;36,8;35,8;34,4;33,8;34,1;31,6;30,1;32,6;29,2;22,9;24,5;20,4;19,2;20,9;20,5;18,4
Galicia;24,3;22,9;24,5;23,5;23,6;25,8;22,8;20,4;22,7;20,2;18,5;17;15,2;14,9;14,3;12,6;12
Madrid, Comunidad de;25,6;26,4;25,8;25,8;27,1;26,2;22,3;19,5;21,5;19,7;18,3;15,6;14,6;13,9;14,4;11,9;10
Murcia, Region de;43,6;39,8;38,6;39,2;40,6;36,8;34,9;30,3;26,9;26,3;24,1;23,6;26,4;23,1;24,1;22,6;18,7
Navarra, Comunidad Foral de;21;17,9;13;16,3;18,8;18,7;16,8;12;13;12,9;11,8;10,8;13,4;11,3;11,4;13,9;10,8
Pais Vasco;13,8;14,7;14,6;14,3;14,8;16,6;13,1;13,8;12,4;9,9;9,4;9,7;7,9;7;6,9;6,7;6,5
Rioja, La;36,3;29,7;26,6;30,6;37;31,9;27,2;30,6;24,3;21,7;21,1;21,5;17,8;12,9;17,1;13,9;14,6
Ceuta ;41,9;55,2;54,9;49,1;42,7;34,1;45,8;38,9;38,5;33,5;29,5;29,8;21,5;20,1;23,4;24,7;25,5
Melilla ;40,8;33,5;40,3;46,8;35,5;36,7;35,4;19,3;32,6;33,1;19,6;24,1;24,4;27,5;29,5;24,1;22,8
