CCAA;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Andalucia;61,9;59,7;59,6;58,7;58,2;57,2;56,4;55,4;54,7;53,7;53,1;51,8;51;50,8;49,2;48,2;47,2
Aragon;49,6;46,7;46,5;45,4;44,5;43;42,4;41,9;41,3;41,3;40,2;40,3;37,9;37,5;36,8;35,6;33,5
Asturias, Principado de;55,4;49;50,7;49,3;47,2;46,4;45,6;44,5;42,8;40,7;39,4;37,5;36,7;35,9;34,3;33,9;31,7
Balears, Illes;58,3;56,4;54,2;56,5;54,5;53,8;52,2;50,2;48,7;48,1;48,8;46,9;43,9;43,4;43,6;43,1;39,3
Canarias;56,7;54,6;56;55,3;55,3;53,9;53,2;53,3;51,9;50,9;51,1;49,5;46,7;45,6;45,1;43,3;40,3
Cantabria;50;46,9;48,6;48,2;45,8;46,3;42,4;41,9;38,8;37,3;36,9;38,2;36,6;34,6;32,3;32,7;33,2
Castilla y Leon;53,5;51,9;50,8;50;49,5;49;47,9;46,9;44,5;43,6;43;43;42,5;41,1;40,3;39,1;38,1
Castilla - La Mancha;64,1;62,3;61,1;58,7;59,3;57,9;56,4;54,1;54,4;53,7;51,7;51;51,4;50,6;49,9;48,7;47,3
Cataluna;52,4;49,5;47,7;47,7;47,9;48,2;47,5;45,9;45,6;44,9;43,5;42;40,4;40,1;38,6;37,6;37,4
Comunitat Valenciana;56,4;53,2;52,6;52,2;51,7;51,6;50,1;48,9;48,8;47,9;45,7;44,8;44,1;43,4;41,8;40,6;38,5
Extremadura;67,1;64,9;64,1;62,2;62,5;61,6;60,3;59,7;61,1;59,7;56,6;56,2;56,6;55,9;53,8;52,9;51,4
Galicia;56,8;54,6;53,4;52,8;52,3;52,3;51,1;49,2;48,9;48,9;47,1;44,9;43,8;43;41,7;39,9;38
Madrid, Comunidad de;44,2;40,2;38,3;36,7;36,8;37,3;34,3;33,2;33,2;32,1;30,7;30,7;30,8;29,5;30;27,9;26,4
Murcia, Region de;58,4;57,3;57,2;56,6;57,1;56,1;56,1;54,1;53,5;52,6;51,8;51,2;50,8;48,9;47,7;47,9;45,9
Navarra, Comunidad Foral de;47,7;42,6;42,2;41,6;41,6;40,6;38,2;38,9;38,2;36,6;35,6;35,5;33,4;33,4;32,5;30,8;29,9
Pais Vasco;43,2;39,7;38,2;37,6;37,1;36,6;34,5;34;33;32,7;32,7;31;30,2;29,7;29,2;28,9;26,2
Rioja, La;55,1;48,1;47,1;47;47,6;44,6;46,2;45,4;42;42,7;40,5;38,7;41;39,4;39,1;39,1;38,8
Ceuta;64,4;62,8;68,8;64,3;59,4;57;60,1;61,2;58,6;58,5;56,9;52,4;53,2;54,5;54,9;54,9;51,3
Melilla;53,4;51,6;54,2;57,6;57,7;63,8;61,6;50,6;54,4;51,7;48;52,9;51,4;48,1;49,7;49,9;43,6
