CCAA;2004;2005*;2006;2007;2008;2009;2010;2011;2012;2013;2014*;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;;;
Total;21;22,3;22,8;23,1;23,1;23,2;23,4;23,7;23,6;23,5;23,9;24,4;24,7;24,9;25,2;25,3;25,8
Andalucia;18,7;19,6;19,5;19,5;19,5;20,2;20,3;21,1;21,4;21,6;22;22,6;22,5;22,4;23,3;23,6;23,4
Aragon;23,2;25,1;23,3;24,3;26,1;27,7;26,6;25,7;26,1;26,5;26,9;27;28,9;28,9;28;28,5;30,2
Asturias, Principado de;20,2;22,8;22,2;23,3;23,6;23,5;23,7;22,4;23,3;23,9;24,2;25,3;25,3;25,5;25,9;26,1;27,4
Balears, Illes;25,9;24,9;24,9;24,5;26,9;26,3;27,5;28,1;28,8;27,3;25,6;28,3;29,7;28,3;29,2;27,9;29,1
Canarias;22,4;23,4;22,7;22,4;23,4;24,6;25,2;24,8;24,3;24;24,3;26,2;26,8;27;26,6;26,4;28,4
Cantabria;24,3;24,7;22,9;22,1;23,3;22,2;24,5;25,3;27,6;28,2;28,3;26,4;26,9;27,9;29,9;28,7;27,7
Castilla y Leon;21;22;22,4;22,7;22,5;22,4;22,9;22,4;24;24,9;25,2;24,8;25,8;26,4;26,3;25,5;26,1
Castilla - La Mancha;18,7;18,7;18,7;20,7;20,6;20,4;21,6;22,7;22,3;22,2;23,2;24;23,6;24;24,1;23,9;24,6
Cataluna;21,3;22,8;24,8;25,4;24,8;24;23,7;24,6;24,3;23,1;22,6;23,5;24,2;23,9;24;24;24,2
Comunitat Valenciana;21,5;22,8;22,8;23,5;23,6;23,8;23,8;23,8;23,5;23,6;25;25,4;25,6;26;25,6;25,8;27,1
Extremadura;15,9;16,3;16,2;17,7;17,6;18,1;18,2;17,8;17,1;18;19,1;19,5;20,2;19,8;21,6;22,3;23,9
Galicia;20,5;20;20,2;20,4;20,1;19,9;20,8;21,9;22;21,2;21,8;22,4;22,9;23;24,2;24,9;24,8
Madrid, Comunidad de;23,4;26,2;28;27,8;27,4;27,3;27,7;27,2;26,2;26,1;26,5;26,6;26,6;27,8;27,3;27,7;28,2
Murcia, Region de;20,9;22;21,6;22,1;20,3;22;21,5;22,9;22,3;21,6;23,6;23,8;23,5;24,3;24,3;24;24,5
Navarra, Comunidad Foral de;21;22,9;23,4;22,9;24,7;25,4;25,3;23,9;24,5;25,9;25,1;25,8;25,9;25,3;26,1;26,6;26,2
Pais Vasco;21,3;21,5;22,2;22,4;23,4;22,4;24,2;24;23,7;23,6;23,6;24,5;24,5;24,3;25,1;24,5;25,1
Rioja, La;18,2;24,4;26,7;24,5;24,2;23,2;21,3;24,2;26,4;24,5;25,7;25,7;24,9;26,6;26,1;25,8;25,9
Ceuta;20;17,1;15,6;21,9;21,7;22,5;21,9;22;21,6;20,8;23,4;22,7;21,8;22,4;21,5;25,3;26
Melilla;25,3;24,2;23,5;22,8;21,8;14,1;18,5;25,2;24,1;25,3;26,8;22,7;24,9;26,4;24,5;23,5;25,9
