CCAA;2004;2005*;2006;2007;2008;2009;2010;2011;2012;2013;2014*;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;;;
Total;45,5;48,4;49,2;49,9;50,1;50,6;51,8;53;53,6;54,4;55,6;56,5;57,4;58,1;59,2;60,4;61,8
Andalucia;38,1;40,3;40,4;41,3;41,8;42,9;43,6;44,6;45,4;46,3;46,9;48,2;49;49,2;50,8;51,8;52,8
Aragon;50,5;53,3;53,5;54,6;55,6;57;57,6;58,1;58,7;58,8;59,8;59,7;62,2;62,5;63,2;64,4;66,5
Asturias, Principado de;44,6;51,1;49,3;50,8;52,7;53,6;54,4;55,5;57,2;59,3;60,6;62,4;63,3;64,1;65,7;66,1;68,3
Balears, Illes;41,8;43,6;45,7;43,5;45,5;46,2;47,9;49,8;51,3;51,9;51,2;53,1;56,1;56,6;56,4;56,9;60,7
Canarias;43,2;45,4;44;44,7;44,6;46,1;46,8;46,7;48,1;49,1;48,9;50,5;53,4;54,4;54,9;56,7;59,7
Cantabria;49,9;53;51,4;51,9;54,2;53,7;57,6;58,1;61,2;62,7;63,1;61,8;63,3;65,3;67,7;67,3;66,8
Castilla y Leon;46,4;48,1;49,2;50;50,5;50,9;52,1;53,2;55,6;56,3;57;56,9;57,5;59;59,7;60,9;61,9
Castilla - La Mancha;35,9;37,7;38,9;41,3;40,6;42,1;43,6;45,8;45,6;46,3;48,3;49;48,6;49,3;50,1;51,3;52,7
Cataluna;47,6;50,5;52,3;52,3;52;51,8;52,5;54,2;54,4;55,1;56,5;58;59,6;59,9;61,4;62,4;62,6
Comunitat Valenciana;43,6;46,8;47,3;47,8;48,3;48,4;49,9;51,1;51,3;52,1;54,3;55,2;56;56,6;58,2;59,4;61,5
Extremadura;33;35,1;35,9;37,7;37,5;38,4;39,6;40,3;38,9;40,3;43,3;43,7;43,3;44,1;46,2;47,1;48,6
Galicia;43,2;45,5;46,5;47,2;47,6;47,7;49;50,8;51,2;51,1;52,8;55,1;56,3;57;58,3;60,1;62
Madrid, Comunidad de;55,8;59,8;61,8;63,2;63,2;62,7;65,6;66,8;66,8;68;69,3;69,2;69,2;70,5;70;72,1;73,6
Murcia, Region de;41,6;42,7;42,8;43,4;42,9;43,9;43,9;46;46,5;47,4;48,2;48,8;49,1;51,1;52,3;52,1;54,1
Navarra, Comunidad Foral de;52,3;57,4;57,8;58,4;58,4;59,4;61,8;61,1;61,8;63,5;64,4;64,5;66,6;66,6;67,5;69,2;70,1
Pais Vasco;56,8;60,3;61,8;62,4;62,9;63,3;65,6;66;67,1;67,3;67,3;69;69,9;70,4;70,8;71,1;73,8
Rioja, La;44,9;51,9;52,9;52,9;52,4;55,4;53,8;54,6;58;57,3;59,6;61,3;59;60,7;60,9;60,9;61,2
Ceuta;35,7;37,1;31,2;35,7;40,6;43;39,9;38,8;41,4;41,5;43,1;47,6;46,8;45,4;45,1;45,1;48,7
Melilla;46,6;48,4;45,8;42,3;42,2;36,2;38,4;49,4;45,6;48,4;51,9;47,1;48,6;51,8;50,3;50,1;56,4
