CCAA;2004;2005*;2006;2007;2008;2009;2010;2011;2012;2013;2014*;2015;2016;2017;2018;2019;2020
Nivel 0-2;;;;;;;;;;;;;;;;;
Total;54,5;51,7;50,9;50,1;49,8;49,5;48,1;47;46,4;45,6;44,5;43,5;42,6;41,8;40,8;39,6;38,2
Andalucía;61,9;59,7;59,6;58,7;58,2;57,2;56,4;55,4;54,7;53,7;53,1;51,8;51;50,8;49,2;48,2;47,2
Aragón;49,6;46,7;46,5;45,4;44,5;43;42,4;41,9;41,3;41,3;40,2;40,3;37,9;37,5;36,8;35,6;33,5
Asturias, Principado de;55,4;49;50,7;49,3;47,2;46,4;45,6;44,5;42,8;40,7;39,4;37,5;36,7;35,9;34,3;33,9;31,7
Balears, Illes;58,3;56,4;54,2;56,5;54,5;53,8;52,2;50,2;48,7;48,1;48,8;46,9;43,9;43,4;43,6;43,1;39,3
Canarias;56,7;54,6;56;55,3;55,3;53,9;53,2;53,3;51,9;50,9;51,1;49,5;46,7;45,6;45,1;43,3;40,3
Cantabria;50;46,9;48,6;48,2;45,8;46,3;42,4;41,9;38,8;37,3;36,9;38,2;36,6;34,6;32,3;32,7;33,2
Castilla y León;53,5;51,9;50,8;50;49,5;49;47,9;46,9;44,5;43,6;43;43;42,5;41,1;40,3;39,1;38,1
Castilla - La Mancha;64,1;62,3;61,1;58,7;59,3;57,9;56,4;54,1;54,4;53,7;51,7;51;51,4;50,6;49,9;48,7;47,3
Cataluña;52,4;49,5;47,7;47,7;47,9;48,2;47,5;45,9;45,6;44,9;43,5;42;40,4;40,1;38,6;37,6;37,4
Comunitat Valenciana;56,4;53,2;52,6;52,2;51,7;51,6;50,1;48,9;48,8;47,9;45,7;44,8;44,1;43,4;41,8;40,6;38,5
Extremadura;67,1;64,9;64,1;62,2;62,5;61,6;60,3;59,7;61,1;59,7;56,6;56,2;56,6;55,9;53,8;52,9;51,4
Galicia;56,8;54,6;53,4;52,8;52,3;52,3;51,1;49,2;48,9;48,9;47,1;44,9;43,8;43;41,7;39,9;38
Madrid, Comunidad de;44,2;40,2;38,3;36,7;36,8;37,3;34,3;33,2;33,2;32,1;30,7;30,7;30,8;29,5;30;27,9;26,4
Murcia, Región de;58,4;57,3;57,2;56,6;57,1;56,1;56,1;54,1;53,5;52,6;51,8;51,2;50,8;48,9;47,7;47,9;45,9
Navarra, Comunidad Foral de;47,7;42,6;42,2;41,6;41,6;40,6;38,2;38,9;38,2;36,6;35,6;35,5;33,4;33,4;32,5;30,8;29,9
País Vasco;43,2;39,7;38,2;37,6;37,1;36,6;34,5;34;33;32,7;32,7;31;30,2;29,7;29,2;28,9;26,2
Rioja, La;55,1;48,1;47,1;47;47,6;44,6;46,2;45,4;42;42,7;40,5;38,7;41;39,4;39,1;39,1;38,8
Ceuta;64,4;62,8;68,8;64,3;59,4;57;60,1;61,2;58,6;58,5;56,9;52,4;53,2;54,5;54,9;54,9;51,3
Melilla;53,4;51,6;54,2;57,6;57,7;63,8;61,6;50,6;54,4;51,7;48;52,9;51,4;48,1;49,7;49,9;43,6
Nivel 3-8;;;;;;;;;;;;;;;;;
Total;45,5;48,4;49,2;49,9;50,1;50,6;51,8;53;53,6;54,4;55,6;56,5;57,4;58,1;59,2;60,4;61,8
Andalucía;38,1;40,3;40,4;41,3;41,8;42,9;43,6;44,6;45,4;46,3;46,9;48,2;49;49,2;50,8;51,8;52,8
Aragón;50,5;53,3;53,5;54,6;55,6;57;57,6;58,1;58,7;58,8;59,8;59,7;62,2;62,5;63,2;64,4;66,5
Asturias, Principado de;44,6;51,1;49,3;50,8;52,7;53,6;54,4;55,5;57,2;59,3;60,6;62,4;63,3;64,1;65,7;66,1;68,3
Balears, Illes;41,8;43,6;45,7;43,5;45,5;46,2;47,9;49,8;51,3;51,9;51,2;53,1;56,1;56,6;56,4;56,9;60,7
Canarias;43,2;45,4;44;44,7;44,6;46,1;46,8;46,7;48,1;49,1;48,9;50,5;53,4;54,4;54,9;56,7;59,7
Cantabria;49,9;53;51,4;51,9;54,2;53,7;57,6;58,1;61,2;62,7;63,1;61,8;63,3;65,3;67,7;67,3;66,8
Castilla y León;46,4;48,1;49,2;50;50,5;50,9;52,1;53,2;55,6;56,3;57;56,9;57,5;59;59,7;60,9;61,9
Castilla - La Mancha;35,9;37,7;38,9;41,3;40,6;42,1;43,6;45,8;45,6;46,3;48,3;49;48,6;49,3;50,1;51,3;52,7
Cataluña;47,6;50,5;52,3;52,3;52;51,8;52,5;54,2;54,4;55,1;56,5;58;59,6;59,9;61,4;62,4;62,6
Comunitat Valenciana;43,6;46,8;47,3;47,8;48,3;48,4;49,9;51,1;51,3;52,1;54,3;55,2;56;56,6;58,2;59,4;61,5
Extremadura;33;35,1;35,9;37,7;37,5;38,4;39,6;40,3;38,9;40,3;43,3;43,7;43,3;44,1;46,2;47,1;48,6
Galicia;43,2;45,5;46,5;47,2;47,6;47,7;49;50,8;51,2;51,1;52,8;55,1;56,3;57;58,3;60,1;62
Madrid, Comunidad de;55,8;59,8;61,8;63,2;63,2;62,7;65,6;66,8;66,8;68;69,3;69,2;69,2;70,5;70;72,1;73,6
Murcia, Región de;41,6;42,7;42,8;43,4;42,9;43,9;43,9;46;46,5;47,4;48,2;48,8;49,1;51,1;52,3;52,1;54,1
Navarra, Comunidad Foral de;52,3;57,4;57,8;58,4;58,4;59,4;61,8;61,1;61,8;63,5;64,4;64,5;66,6;66,6;67,5;69,2;70,1
País Vasco;56,8;60,3;61,8;62,4;62,9;63,3;65,6;66;67,1;67,3;67,3;69;69,9;70,4;70,8;71,1;73,8
Rioja, La;44,9;51,9;52,9;52,9;52,4;55,4;53,8;54,6;58;57,3;59,6;61,3;59;60,7;60,9;60,9;61,2
Ceuta;35,7;37,1;31,2;35,7;40,6;43;39,9;38,8;41,4;41,5;43,1;47,6;46,8;45,4;45,1;45,1;48,7
Melilla;46,6;48,4;45,8;42,3;42,2;36,2;38,4;49,4;45,6;48,4;51,9;47,1;48,6;51,8;50,3;50,1;56,4
Nivel 3-4;;;;;;;;;;;;;;;;;
Total;21;22,3;22,8;23,1;23,1;23,2;23,4;23,7;23,6;23,5;23,9;24,4;24,7;24,9;25,2;25,3;25,8
Andalucía;18,7;19,6;19,5;19,5;19,5;20,2;20,3;21,1;21,4;21,6;22;22,6;22,5;22,4;23,3;23,6;23,4
