CCAA;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020*
Total;80,3;80,3;80,9;81;81,3;81,7;82,1;82,3;82,3;82,8;82,9;82,7;83,1;83,1;83,2;83,6;82,3
Andalucia;78,9;78,9;79,6;79,7;79,9;80,3;80,8;80,9;80,9;81,5;81,7;81,4;81,9;81,8;81,8;82,2;81,6
Aragon;80,4;80,6;81,4;81,4;81,8;82;82,2;82,3;82,7;83,1;82,9;82,8;83,4;83,2;83,5;83,9;82,4
Asturias, Principado de;79,8;79,9;80,2;80,4;80,7;81,1;81,2;81,3;81,5;82,2;82,1;82,2;82,4;82,6;82,6;82,8;82,1
Balears, Illes;80,3;80,3;80,9;81,3;81,2;81,2;81,6;81,9;81,9;82,6;82,7;82,4;83;82,9;83,2;83,7;83,4
Canarias;78,8;79,1;79,6;79,8;79,8;80,9;81,4;81,3;81,4;82,1;82;81,9;82,2;82,4;82,1;82,8;82,7
Cantabria;80,8;81,1;81;81;81,6;82;82,1;82,4;82,5;83;82,8;82,7;83,2;83,3;83,4;83,6;83
Castilla y Leon;81,5;81,3;81,9;81,9;82,2;82,7;82,9;83,2;83,2;83,5;83,6;83,6;83,8;83,8;83,9;84,2;82,5
Castilla - La Mancha;80,9;80,8;81,7;81,4;81,8;82,3;82,7;82,8;82,7;83,1;83,3;82,8;83,3;83;83,4;83,6;81,3
Cataluna;80,6;80,5;81,3;81,3;81,6;81,9;82,3;82,6;82,5;83;83,2;83,1;83,4;83,3;83,4;83,8;82,2
Comunitat Valenciana;79,8;79,7;80,4;80,5;80,9;81,3;81,6;81,8;81,9;82,4;82,4;82,2;82,6;82,5;82,6;83;82,4
Extremadura;79,8;79,6;80,4;80,5;81;81,1;81,2;81,7;81,4;81,9;82,3;82;82,3;82,2;82,5;82,8;81,8
Galicia;80,6;80,5;80,8;80,9;81,3;81,5;81,9;82,1;82,2;82,6;82,9;82,6;82,7;83,1;83,1;83,5;83,3
Madrid, Comunidad de;81,2;81,5;82,1;82,1;82,6;82,9;83,4;83,6;83,6;84,1;84,2;84;84,5;84,5;84,8;85;82,3
Murcia, Region de;79,5;79,7;80,3;80,3;80,4;80,9;81,6;81,7;81,7;82,3;82,5;82,2;82,5;82,4;82,7;82,6;82,4
Navarra, Comunidad Foral de;81,5;81,6;82;82,2;82,3;82,9;83,7;83,5;83,4;83,5;83,5;83,8;83,8;83,8;84,2;84,6;83,4
Pais Vasco;80,8;80,9;81,5;81,3;81,7;82;82,4;82,5;82,8;83,1;83,4;83,1;83,4;83,5;83,7;84;83,2
Rioja, La;81,4;81;81,9;81,5;81,9;82,5;83;82,9;82,7;83,6;83,8;83,4;83,8;83,6;83,6;83,8;82,4
Ceuta;77,9;78;78,2;77,9;78,8;78,1;78,5;79,4;80,2;79,4;79,9;80,3;80,7;79,3;80,5;80,6;79,3
Melilla;77,7;78,5;78,2;78,8;78,4;80,6;81,1;79,9;80,3;80,4;80,1;79,9;80,5;80,3;80,2;80,7;78,9
