;De 0 a 4;De 5 a 6;De 7 a 8;De 9 a 10;Satisfaccion media
;;;;;
Total;6,4;20,4;47,6;25,6;7,3
Andalucia;7,9;23,8;45,9;22,5;7,1
Aragon;4;15,7;49,4;31;7,7
Asturias, Principado de;7,5;17,9;50,2;24,4;7,3
Balears, Illes;3,7;18,3;47;31;7,6
Canarias;2,2;14,8;38,2;44,8;8
Cantabria;5,4;19,6;47,4;27,5;7,4
Castilla y Leon;6,6;20,4;46,3;26,7;7,3
Castilla - La Mancha;7;21;44,3;27,7;7,3
Cataluna;4,4;20,4;51,9;23,3;7,4
Comunitat Valenciana;6,7;17,2;47,5;28,6;7,4
Extremadura;4,4;18,8;50;26,7;7,4
Galicia;4,1;22;49,9;24;7,4
Madrid, Comunidad de;9;19,9;48;23,1;7,2
Murcia, Region de;7,7;28;47,6;16,7;6,9
Navarra, Comunidad Foral de;6,6;23,6;43,3;26,6;7,3
Pais Vasco;8;22,2;45,3;24,5;7,2
Rioja, La;6;17,1;53,6;23,3;7,4
Ceuta;7,8;20,7;42;29,5;7,4
Melilla;0,5;10,8;36,2;52,5;8,3
