CCAA;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;
Total;53,7;54,4;53,3;49,4;48,3;47,4;45,4;44,4;45;46,4;47,6;48,7;49,7;50,4;48,5
Andalucia;48,5;49,2;47,3;43,5;42,3;41;38,8;37,5;38,4;40,2;41,1;42,7;43,8;44,8;43
Aragon;54;56,3;55,6;51,7;50;49;48,9;46,4;47;49,2;50,6;51,8;52,4;53,3;51,3
Asturias, Principado de;45,4;46,3;48,2;45;43,6;42,6;40,9;39,8;40,9;41,2;42,6;43,9;43,9;43,5;43
Balears, Illes;60,3;59,8;58,4;54,1;53;51,2;51,5;51,5;51,9;54,4;56,2;56,1;57;56,8;51,7
Canarias;54;54,6;50,3;45,8;44,2;44,4;42,5;41,3;41,4;43,9;45,2;46,2;48,3;47,8;44,2
Cantabria;51,9;53,3;53,2;50,2;48,4;47,8;46,8;44,7;45,5;46,2;47,8;48,2;49;49,4;47,3
Castilla y Leon;48,9;49,9;49,3;46,9;46,4;46;44,5;43;43,6;44,8;46,4;47,1;47,9;48,5;47,3
Castilla - La Mancha;50,6;52,3;50,9;47,2;45,9;45,5;42,3;41,7;42;43,2;44,7;46,7;48,1;49;47,1
Cataluna;58,8;59,2;58,3;53,2;52,5;51,8;49,2;48,6;49,9;50,7;52,3;53,5;54,2;54,8;52,7
Comunitat Valenciana;54,6;54,8;53,5;48,2;46,4;45,4;43,4;42,9;43,8;45,6;47,1;48,4;49,4;50;47,9
Extremadura;44,7;46;45,2;42,6;41,9;40,6;36,9;37;38,7;39,1;40;40,4;42,2;43,7;42,5
Galicia;48,9;49,9;50;48;45,9;45,3;43,7;42,2;42,1;43,1;44,3;45;46,2;46,9;45,9
Madrid, Comunidad de;60,2;60,9;59,9;56,7;55,6;54,6;53,2;51,7;51,9;53,6;53,7;54,5;55,2;56,2;54,4
Murcia, Region de;54,7;56;54;48,9;47,8;46,1;44,7;43,6;44,9;44,8;47,4;48,8;49,4;50,4;49,3
Navarra, Comunidad Foral de;57,7;58,4;57,3;54,4;53,5;53,1;50,9;49,4;50,4;50,7;51,2;53,1;53,2;53,8;51,4
Pais Vasco;54,2;54,4;54,6;51,4;52;51,8;49,1;47,9;47,7;48,4;49,8;49,8;50,7;51;49,8
Rioja, La;56;56;55,7;52,9;51,4;50,2;47,5;47,4;49,3;50,2;51,2;51,9;53;53,6;52,1
Ceuta;42,2;42,3;46,6;47;43,1;41,6;37,5;39,3;40,2;41,5;43,1;43,3;41,7;43,1;42,5
Melilla;46,8;45,6;44,1;41,5;41,8;43,9;41,6;39,9;39,6;37,8;40,5;43,3;46,6;44,2;47,5
UE-27;52,4;53,1;53,4;52,3;51,9;51;50,7;50,4;50,7;51,1;51,8;52,5;53,1;53,6;52,8
