;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;
Andalucia;12,6;12,8;17,7;25,2;27,8;30,1;34,4;36,2;34,8;31,5;28,9;25,5;23;21,2;22,3
Aragon;5,5;5,3;7,3;13,1;15;17,1;18,7;21,4;20,2;16,3;14,7;11,7;10,6;10;11,7
Asturias, Principado de;9,2;8,4;8,5;13,4;15,9;17,8;21,8;24,1;21,1;19,1;17,6;13,7;13,6;14,2;14,1
Balears, Illes;6,4;7,2;10,2;17,9;20,1;21,9;23,2;22,3;20;17,3;13,9;12,4;11,5;11,7;16,1
Canarias;11,6;10,5;17,3;26;28,6;29,3;32,6;33,7;32,4;29,1;26,1;23,5;20,1;20,5;22,6
Cantabria;6,5;6;7,2;12;13,7;15,3;17,8;20,4;19,4;17,7;14,9;13,6;10,7;10,3;12,1
Castilla y Leon;8,1;7,1;9,6;14;15,8;16,9;19,8;21,8;20,8;18,3;15,8;14,1;12,1;11,6;12,1
Castilla - La Mancha;8,8;7,7;11,7;18,9;21,2;23,1;28,6;30;29;26,4;23,6;20,8;18,2;16,2;17,7
Cataluna;6,5;6,5;8,9;16,2;17,7;19,2;22,5;23,1;20,3;18,6;15,7;13,4;11,5;11;12,6
Comunitat Valenciana;8,3;8,7;12;20,8;22,9;24;27,2;28,1;25,8;22,8;20,6;18,2;15,6;14,1;16,2
Extremadura;13,3;13;15,4;20,6;23;25,1;33,1;33,9;29,8;29,1;27,5;26,2;23,6;21,5;21,8
Galicia;8,4;7,6;8,6;12,4;15,3;17,3;20,5;22;21,7;19,3;17,2;15,7;13,3;11,8;12
Madrid, Comunidad de;6,3;6,2;8,6;13,9;15,8;16,3;18,5;19,8;18,7;17,1;15,7;13,3;12,2;10,6;12,5
Murcia, Region de;7,9;7,5;12,4;20,3;22,9;25;27,6;29;26,6;24,6;19,8;18;16,8;14,7;16,2
Navarra, Comunidad Foral de;5,4;4,7;6,8;10,8;11,9;13;16,2;17,9;15,7;13,8;12,5;10,2;10;8,2;10,1
Pais Vasco;7,2;6,2;6,6;11,3;10,7;12,4;15,6;16,6;16,3;14,8;12,6;11,3;10;9,2;9,5
Rioja, La;6,1;5,8;7,9;12,6;14,2;17,2;20,6;20;18,2;15,4;13,6;12;10,4;10;10,8
Ceuta;21,5;21;17,4;18,6;23,9;27,7;37;34,8;31,9;27,6;24,9;22,5;29;25,8;24,5
Melilla;13,6;18,2;20;23,5;22,8;22,4;26,9;32,5;28,4;34;30,8;27,6;25,8;27;23,6
