Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
 Andalucía;Ambos sexos;2020;81,54
 Andalucía;Ambos sexos;2019;82,22
 Andalucía;Ambos sexos;2018;81,76
 Andalucía;Ambos sexos;2017;81,83
 Andalucía;Ambos sexos;2016;81,85
 Andalucía;Ambos sexos;2015;81,37
 Andalucía;Ambos sexos;2014;81,72
 Andalucía;Ambos sexos;2013;81,49
 Andalucía;Ambos sexos;2012;80,91
 Andalucía;Ambos sexos;2011;80,88
 Andalucía;Ambos sexos;2010;80,76
 Andalucía;Ambos sexos;2009;80,3
 Andalucía;Ambos sexos;2008;79,93
 Andalucía;Ambos sexos;2007;79,66
 Andalucía;Ambos sexos;2006;79,63
 Andalucía;Ambos sexos;2005;78,92
 Andalucía;Ambos sexos;2004;78,89
 Andalucía;Ambos sexos;2003;78,38
 Andalucía;Ambos sexos;2002;78,5
 Andalucía;Ambos sexos;2001;78,46
 Andalucía;Ambos sexos;2000;78,17
 Andalucía;Ambos sexos;1999;77,63
 Andalucía;Ambos sexos;1998;77,57
 Andalucía;Ambos sexos;1997;77,67
 Andalucía;Ambos sexos;1996;77,2
 Andalucía;Ambos sexos;1995;77,06
 Andalucía;Ambos sexos;1994;77,04
 Andalucía;Ambos sexos;1993;76,62
 Andalucía;Ambos sexos;1992;76,65
 Andalucía;Ambos sexos;1991;76,13
 Andalucía;Ambos sexos;1990;75,97
 Andalucía;Ambos sexos;1989;75,98
 Andalucía;Ambos sexos;1988;75,83
 Andalucía;Ambos sexos;1987;75,78
 Andalucía;Ambos sexos;1986;75,64
 Andalucía;Ambos sexos;1985;75,48
 Andalucía;Ambos sexos;1984;75,44
 Andalucía;Ambos sexos;1983;75,26
 Andalucía;Ambos sexos;1982;75,08
 Andalucía;Ambos sexos;1981;74,62
 Andalucía;Ambos sexos;1980;74,57
 Andalucía;Ambos sexos;1979;74,14
 Andalucía;Ambos sexos;1978;73,57
 Andalucía;Ambos sexos;1977;73,61
 Andalucía;Ambos sexos;1976;72,9
 Andalucía;Ambos sexos;1975;72,83
Aragón;Ambos sexos;2020;82,39
Aragón;Ambos sexos;2019;83,9
Aragón;Ambos sexos;2018;83,45
Aragón;Ambos sexos;2017;83,23
Aragón;Ambos sexos;2016;83,35
Aragón;Ambos sexos;2015;82,75
Aragón;Ambos sexos;2014;82,86
Aragón;Ambos sexos;2013;83,08
Aragón;Ambos sexos;2012;82,66
Aragón;Ambos sexos;2011;82,33
Aragón;Ambos sexos;2010;82,18
Aragón;Ambos sexos;2009;81,96
Aragón;Ambos sexos;2008;81,84
Aragón;Ambos sexos;2007;81,39
Aragón;Ambos sexos;2006;81,41
Aragón;Ambos sexos;2005;80,63
Aragón;Ambos sexos;2004;80,44
Aragón;Ambos sexos;2003;80,2
Aragón;Ambos sexos;2002;80,38
Aragón;Ambos sexos;2001;80,22
Aragón;Ambos sexos;2000;79,98
Aragón;Ambos sexos;1999;79,18
Aragón;Ambos sexos;1998;79,54
Aragón;Ambos sexos;1997;79,18
Aragón;Ambos sexos;1996;79,1
Aragón;Ambos sexos;1995;78,83
Aragón;Ambos sexos;1994;78,96
Aragón;Ambos sexos;1993;78,7
Aragón;Ambos sexos;1992;78,95
Aragón;Ambos sexos;1991;78,19
Aragón;Ambos sexos;1990;77,9
Aragón;Ambos sexos;1989;77,67
