Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
10 Comunitat Valenciana;Ambos sexos;2020;82,36
10 Comunitat Valenciana;Ambos sexos;2019;83,00
10 Comunitat Valenciana;Ambos sexos;2018;82,58
10 Comunitat Valenciana;Ambos sexos;2017;82,50
10 Comunitat Valenciana;Ambos sexos;2016;82,59
10 Comunitat Valenciana;Ambos sexos;2015;82,23
10 Comunitat Valenciana;Ambos sexos;2014;82,41
10 Comunitat Valenciana;Ambos sexos;2013;82,37
10 Comunitat Valenciana;Ambos sexos;2012;81,86
10 Comunitat Valenciana;Ambos sexos;2011;81,76
10 Comunitat Valenciana;Ambos sexos;2010;81,55
10 Comunitat Valenciana;Ambos sexos;2009;81,27
10 Comunitat Valenciana;Ambos sexos;2008;80,85
10 Comunitat Valenciana;Ambos sexos;2007;80,48
10 Comunitat Valenciana;Ambos sexos;2006;80,44
10 Comunitat Valenciana;Ambos sexos;2005;79,65
10 Comunitat Valenciana;Ambos sexos;2004;79,80
10 Comunitat Valenciana;Ambos sexos;2003;79,04
10 Comunitat Valenciana;Ambos sexos;2002;79,01
10 Comunitat Valenciana;Ambos sexos;2001;78,93
10 Comunitat Valenciana;Ambos sexos;2000;78,76
10 Comunitat Valenciana;Ambos sexos;1999;78,12
10 Comunitat Valenciana;Ambos sexos;1998;78,42
10 Comunitat Valenciana;Ambos sexos;1997;77,94
10 Comunitat Valenciana;Ambos sexos;1996;77,66
10 Comunitat Valenciana;Ambos sexos;1995;77,64
10 Comunitat Valenciana;Ambos sexos;1994;77,25
10 Comunitat Valenciana;Ambos sexos;1993;77,15
10 Comunitat Valenciana;Ambos sexos;1992;76,81
10 Comunitat Valenciana;Ambos sexos;1991;76,53
10 Comunitat Valenciana;Ambos sexos;1990;76,41
10 Comunitat Valenciana;Ambos sexos;1989;76,16
10 Comunitat Valenciana;Ambos sexos;1988;76,11
10 Comunitat Valenciana;Ambos sexos;1987;76,19
10 Comunitat Valenciana;Ambos sexos;1986;76,12
10 Comunitat Valenciana;Ambos sexos;1985;75,93
10 Comunitat Valenciana;Ambos sexos;1984;76,03
10 Comunitat Valenciana;Ambos sexos;1983;75,59
10 Comunitat Valenciana;Ambos sexos;1982;75,47
10 Comunitat Valenciana;Ambos sexos;1981;75,01
10 Comunitat Valenciana;Ambos sexos;1980;74,71
10 Comunitat Valenciana;Ambos sexos;1979;74,09
10 Comunitat Valenciana;Ambos sexos;1978;73,60
10 Comunitat Valenciana;Ambos sexos;1977;73,56
10 Comunitat Valenciana;Ambos sexos;1976;73,36
10 Comunitat Valenciana;Ambos sexos;1975;73,00
10 Comunitat Valenciana;Hombres;2020;79,76
10 Comunitat Valenciana;Hombres;2019;80,33
10 Comunitat Valenciana;Hombres;2018;79,97
10 Comunitat Valenciana;Hombres;2017;79,90
10 Comunitat Valenciana;Hombres;2016;79,96
10 Comunitat Valenciana;Hombres;2015;79,55
10 Comunitat Valenciana;Hombres;2014;79,84
10 Comunitat Valenciana;Hombres;2013;79,81
10 Comunitat Valenciana;Hombres;2012;79,11
